run,condition,layer,turn,projection,proj_norm
scenario_09_aa_feed_run00,aa_feed,50,8,16.91317367553711,7.1636275291442875
scenario_09_aa_feed_run00,aa_feed,50,9,21.545175552368164,11.795629405975342
scenario_09_aa_feed_run00,aa_feed,50,10,2.515055656433105,-7.234490489959716
scenario_09_aa_feed_run00,aa_feed,50,11,-12.11194133758545,-21.861487483978273
scenario_09_aa_feed_run00,aa_feed,50,12,10.704301834106444,0.9547556877136216
scenario_09_aa_feed_run00,aa_feed,50,13,20.586994171142575,10.837448024749753
scenario_09_aa_feed_run00,aa_feed,50,14,21.130550384521484,11.381004238128662
scenario_09_aa_feed_run01,aa_feed,32,0,-21.174755096435547,-5.401708412170411
scenario_09_aa_feed_run01,aa_feed,32,1,-11.43833351135254,4.334713172912595
scenario_09_aa_feed_run01,aa_feed,32,2,-15.461470603942873,0.31157608032226314
scenario_09_aa_feed_run01,aa_feed,32,3,-15.79523754119873,-0.02219085693359446
scenario_09_aa_feed_run01,aa_feed,32,4,-14.995436668395996,0.7776100158691399
scenario_09_aa_feed_run01,aa_feed,32,5,-24.51475143432617,-8.741704750061032
scenario_09_aa_feed_run01,aa_feed,32,6,-28.359699249267575,-12.586652565002439
scenario_09_aa_feed_run01,aa_feed,32,7,-16.685949325561523,-0.9129026412963874
scenario_09_aa_feed_run01,aa_feed,32,8,-21.830224990844727,-6.0571783065795906
scenario_09_aa_feed_run01,aa_feed,32,9,-19.63802528381348,-3.864978599548344
scenario_09_aa_feed_run01,aa_feed,32,10,-29.37477302551269,-13.601726341247556
scenario_09_aa_feed_run01,aa_feed,32,11,-18.54048728942871,-2.767440605163575
scenario_09_aa_feed_run01,aa_feed,32,12,-23.63200569152832,-7.858959007263184
scenario_09_aa_feed_run01,aa_feed,32,13,-19.96129035949707,-4.188243675231934
scenario_09_aa_feed_run01,aa_feed,32,14,-19.20931434631348,-3.436267662048344
scenario_09_aa_feed_run01,aa_feed,50,0,10.806819915771484,-9.259915542602538
scenario_09_aa_feed_run01,aa_feed,50,1,26.264137268066406,6.1974018096923835
scenario_09_aa_feed_run01,aa_feed,50,2,21.130550384521484,1.0638149261474616
scenario_09_aa_feed_run01,aa_feed,50,3,20.586994171142575,0.5202587127685518
scenario_09_aa_feed_run01,aa_feed,50,4,21.545175552368164,1.4784400939941413
scenario_09_aa_feed_run01,aa_feed,50,5,2.515055656433105,-17.551679801940917
scenario_09_aa_feed_run01,aa_feed,50,6,-9.123368263244627,-29.190103721618648
scenario_09_aa_feed_run01,aa_feed,50,7,16.91317367553711,-3.1535617828369134
scenario_09_aa_feed_run01,aa_feed,50,8,10.704301834106444,-9.36243362426758
scenario_09_aa_feed_run01,aa_feed,50,9,9.608219146728516,-10.458516311645507
scenario_09_aa_feed_run01,aa_feed,50,10,-12.11194133758545,-32.178676795959475
scenario_09_aa_feed_run01,aa_feed,50,11,16.656333923339844,-3.410401535034179
scenario_09_aa_feed_run01,aa_feed,50,12,-2.8823742866516118,-22.949109745025634
scenario_09_aa_feed_run01,aa_feed,50,13,13.390560150146484,-6.676175308227538
scenario_09_aa_feed_run01,aa_feed,50,14,17.8330020904541,-2.233733367919921
scenario_09_aa_feed_run02,aa_feed,32,0,-11.43833351135254,6.787626075744628
scenario_09_aa_feed_run02,aa_feed,32,1,-18.54048728942871,-0.31452770233154226
scenario_09_aa_feed_run02,aa_feed,32,2,-15.461470603942873,2.764488983154296
scenario_09_aa_feed_run02,aa_feed,32,3,-24.51475143432617,-6.288791847229
scenario_09_aa_feed_run02,aa_feed,32,4,-21.174755096435547,-2.948795509338378
scenario_09_aa_feed_run02,aa_feed,32,5,-29.37477302551269,-11.148813438415523
scenario_09_aa_feed_run02,aa_feed,32,6,-16.685949325561523,1.5400102615356452
scenario_09_aa_feed_run02,aa_feed,32,7,-21.830224990844727,-3.604265403747558
scenario_09_aa_feed_run02,aa_feed,32,8,-19.96129035949707,-1.7353307723999016
scenario_09_aa_feed_run02,aa_feed,32,9,-23.63200569152832,-5.406046104431152
scenario_09_aa_feed_run02,aa_feed,32,10,-15.79523754119873,2.430722045898438
scenario_09_aa_feed_run02,aa_feed,32,11,-14.995436668395996,3.2305229187011726
scenario_09_aa_feed_run02,aa_feed,32,12,-28.359699249267575,-10.133739662170406
scenario_09_aa_feed_run02,aa_feed,32,13,-19.63802528381348,-1.4120656967163114
scenario_09_aa_feed_run02,aa_feed,32,14,-19.20931434631348,-0.9833547592163114
scenario_09_aa_feed_run02,aa_feed,50,0,26.264137268066406,10.789557838439942
scenario_09_aa_feed_run02,aa_feed,50,1,16.656333923339844,1.1817544937133793
scenario_09_aa_feed_run02,aa_feed,50,2,21.130550384521484,5.65597095489502
scenario_09_aa_feed_run02,aa_feed,50,3,2.515055656433105,-12.959523773193359
scenario_09_aa_feed_run02,aa_feed,50,4,10.806819915771484,-4.66775951385498
scenario_09_aa_feed_run02,aa_feed,50,5,-12.11194133758545,-27.586520767211915
scenario_09_aa_feed_run02,aa_feed,50,6,16.91317367553711,1.4385942459106449
scenario_09_aa_feed_run02,aa_feed,50,7,10.704301834106444,-4.770277595520021
scenario_09_aa_feed_run02,aa_feed,50,8,13.390560150146484,-2.08401927947998
scenario_09_aa_feed_run02,aa_feed,50,9,-2.8823742866516118,-18.356953716278078
scenario_09_aa_feed_run02,aa_feed,50,10,20.586994171142575,5.11241474151611
scenario_09_aa_feed_run02,aa_feed,50,11,21.545175552368164,6.0705961227417
scenario_09_aa_feed_run02,aa_feed,50,12,-9.123368263244627,-24.59794769287109
scenario_09_aa_feed_run02,aa_feed,50,13,9.608219146728516,-5.866360282897949
scenario_09_aa_feed_run02,aa_feed,50,14,17.8330020904541,2.358422660827637
scenario_09_aa_feed_run03,aa_feed,32,0,-23.63200569152832,-3.677485084533693
scenario_09_aa_feed_run03,aa_feed,32,1,-19.20931434631348,0.7452062606811474
scenario_09_aa_feed_run03,aa_feed,32,2,-19.96129035949707,-0.006769752502442827
scenario_09_aa_feed_run03,aa_feed,32,3,-21.174755096435547,-1.2202344894409194
scenario_09_aa_feed_run03,aa_feed,32,4,-15.79523754119873,4.159283065795897
scenario_09_aa_feed_run03,aa_feed,32,5,-24.51475143432617,-4.560230827331541
scenario_09_aa_feed_run03,aa_feed,32,6,-19.63802528381348,0.31649532318114737
scenario_09_aa_feed_run03,aa_feed,32,7,-28.359699249267575,-8.405178642272947
scenario_09_aa_feed_run03,aa_feed,32,8,-29.37477302551269,-9.420252418518064
scenario_09_aa_feed_run03,aa_feed,32,9,-18.54048728942871,1.4140333175659165
